,time_skew,time_kurt,time_rms,time_var,time_std,time_absolute_mean,time_shape_factor,time_vmax,time_impulse_factor,time_crest_factor,time_sqr_mean,time_clearance_factor,time_mean,time_energy_operator,time_log_energy_entropy,time_shannon_entropy,time_sqrt_amplitude_val,time_time_cp1,time_time_cp2,time_time_cp3,time_time_cp4,time_time_cp5,time_time_cp6,time_log_detector,time_wave_length,time_wilson_amplitude,time_slope_sign_change,freq_mean,freq_var,freq_skew,freq_kurt,freq_central_freq,freq_std,freq_rms,freq_cp1,freq_cp2,freq_cp3,freq_cp4,freq_cp5,freq_centroid,freq_spread,freq_entropy,pow_total,pow_mdf,pow_pkf,pow_1sm,pow_2sm,pow_3sm,pow_4sm,pow_vcf,pow_freq_ratio,Label
0,-0.0591898117196261,-1.6508717799339807,7.415732133273137,10681.474055579347,103.35121700095915,131.46384478777244,0.05640890957696135,255,1.9396968072222223,34.386355307503365,54.99308307245975,4.636946789544569,131.46384478777244,-177.53384431668874,827854.2797851562,,inf,0.0,34.386355307503365,1.9396968072222223,0.8402187654218821,inf,inf,0.0,95642540,744740.0,741327.5,92.86967077387239,35.77068611060178,-0.7769175009801266,2.1002351277541695,31144.719115100797,14669.225675903914,35998.74702011514,1.3020499893612543,0.47100202193801155,,19100.065135248526,48388.84923551753,186879.27763173325,108325.26024897081,18.51342288038654,0.16121108205974466,0.08060554102987233,40000,6448.443282389786,257937731.29559144,111610027.76193549,-170394408.15453383,0.0,0.5122796222833294,cutting
0,-0.06225555728705536,-1.6507590934369263,7.419685772643255,10684.538958646015,103.36604354741462,131.67748958727753,0.05634741211955891,255,1.9365496775436528,34.36803226090753,55.051736964764736,4.632006437203062,131.67748958727753,-177.76249136518163,829110.3681640625,,inf,0.0,34.36803226090753,1.9365496775436528,0.8409520758754142,inf,inf,0.0,95628462,744585.0,740908.0,92.72701850036624,35.891833385509536,-0.7707585987387496,2.1321476972493683,31146.211128753846,17539.268254127644,36001.87398302753,0.7660795802041301,0.5631268657886795,,13436.475261209735,48395.19326765549,186888.23023884042,108347.22849786522,18.513406835694084,0.16153508628122248,0.08076754314061124,40000,6461.4034512489,258456138.04995596,111834343.11105475,-170736869.1494785,0.0,0.5129620570557866,cutting
0,-0.011209186415929344,-1.656043344304666,7.448781527987418,10672.336973390113,103.30700350600685,128.28369135677374,0.05806491416957578,255,1.9877819019941638,34.23378696796043,55.48434625168657,4.595890863402733,128.28369135677374,-176.26646696881457,853621.373046875,,inf,0.0,34.23378696796043,1.9877819019941638,0.8332392855946886,inf,inf,0.0,95613100,744547.0,741372.0,92.58115996471031,35.35247195125372,-0.7909885720097933,2.1646993086613193,31154.844068523198,113346.64028881767,36008.185167142554,0.0026104882114565396,3.6381706818855704,,295.8900682821634,48394.98088699635,186940.0309162513,108333.37509940894,18.513438081316046,0.16281932271876126,0.08140966135938063,40000,6512.77290875045,260510916.35001802,112723448.64037234,-172094261.612261,0.0,0.5065891372325793,cutting
0,-0.0568114657156715,-1.6518288179535043,7.437024081320324,10676.684385751898,103.32804259131157,131.32219043149468,0.05663189181420112,255,1.941789115473389,34.28790833694986,55.30932718613841,4.610433953423826,131.32219043149468,-177.69515310034518,835474.984375,,inf,0.0,34.28790833694986,1.941789115473389,0.8403748127225388,inf,inf,0.0,95654574,744692.0,741954.0,93.16098002804306,36.87399290669671,-0.7310799380817509,2.074924234541087,31144.828684723117,57368.73421293298,35997.511068753716,0.02252109601437244,1.8419987084749314,,1292.0067714324766,48387.46027975467,186879.93508803574,108309.33700444792,18.513350204029397,0.16306928845098484,0.08153464422549242,40000,6522.771538039394,260910861.52157575,112896505.49202642,-172358466.54443413,0.0,0.5062301954005705,cutting
0,-0.09009958187107943,-1.6460313416749708,7.434276578784426,10654.122354602616,103.21880814368386,133.5845643722235,0.05565221261694102,255,1.9089031820282871,34.30058019736668,55.26846824986267,4.613842360297974,133.5845643722235,-178.4000117516517,839615.0502929688,,inf,0.0,34.30058019736668,1.9089031820282871,0.8495257307683672,inf,inf,0.0,95628971,744614.0,741828.0,93.31179947532777,36.73585439460594,-0.749265971064156,2.155042922499913,31148.11976859331,13452.65610111201,36000.632142326824,1.6745059529020825,0.4318930388432736,,22526.552723656583,48388.252131042456,186899.6827497184,108312.61132569253,18.51336871105049,0.1634210783344746,0.0817105391672373,40000,6536.843133378985,261473725.3351594,113140057.47468795,-172730296.00073525,0.0,0.502692836863981,cutting
0,-0.09085926633114762,-1.6452771807232165,7.433421531322873,10656.693324000471,103.23126136980247,133.61863037368474,0.05563162495030958,255,1.9084165081385274,34.30452570535435,55.25575566233448,4.61490385831105,133.61863037368474,-178.65426325258971,832250.0004882812,,inf,0.0,34.30452570535435,1.9084165081385274,0.8483780841060702,inf,inf,0.0,95635379,744632.0,741609.5,93.1080984559933,36.451788564416596,-0.7471992213657497,2.110883642550304,31145.8545578198,41693.08232918305,36004.29733785267,0.05791714531950509,1.338639858212372,,2414.7443080773846,48402.582251213615,186886.09068772316,108379.90701060308,18.51338306825878,0.1623176572484703,0.08115882862423515,40000,6492.706289938812,259708251.59755248,112376134.44614325,-171564018.96510777,0.0,0.507770618238868,cutting
0,-0.10803327039679705,-1.6415367293148428,7.408065721877244,10667.06470332738,103.28148286758561,134.7536344534454,0.05497488622050174,255,1.8923422810395312,34.42194083766601,54.87943773965261,4.64654906286972,134.7536344534454,-179.66505814719298,816130.3735351562,,inf,0.0,34.42194083766601,1.8923422810395312,0.8495667499304823,inf,inf,0.0,95637676,744662.0,740553.5,92.60017927725336,35.42340679639946,-0.7891581428281707,2.066298090271582,31139.74177641439,11974.668530230418,36000.06095420944,2.5842722520937174,0.38454617306108085,,30945.803610694325,48403.434134370276,186849.41184759157,108392.48022243853,18.51343420027891,0.16191704227798798,0.08095852113899399,40000,6476.681691119519,259067267.64478076,112098779.76676205,-171140583.119873,0.0,0.5069974534917425,cutting
0,-0.11228918599018801,-1.6404541068365084,7.411102961037818,10661.325244305997,103.25369361095997,135.03099284841957,0.05488445878019447,255,1.8884553436280578,34.40783394058945,54.92444709910352,4.642741319541879,135.03099284841957,-179.775789258324,815364.7465820312,,inf,0.0,34.40783394058945,1.8884553436280578,0.8503528050774596,inf,inf,0.0,95641519,744731.0,741337.0,92.93557773155483,35.970954454434434,-0.7815577302090048,2.1473221520441834,31136.504251266546,254778.84853388622,35991.44819786188,0.00027288500563716386,8.182641393454519,,69.52532751839966,48386.22931893655,186829.9855570957,108322.96488908833,18.5134094183542,0.16226100003899804,0.08113050001949902,40000,6490.440001559922,259617600.06239688,112336909.39634322,-171504134.29990757,0.0,0.5111545313798511,cutting
0,-0.15935495528784532,-1.6252840500003183,7.4229601090294315,10598.670766553714,102.94984587921302,138.25322914389022,0.05369104327613075,255,1.8444415481580028,34.352872203881724,55.10033678024222,4.627920896691097,138.25322914389022,-182.05007269545325,823554.265625,,inf,0.0,34.352872203881724,1.8444415481580028,0.8645772286166398,inf,inf,0.0,95668137,744657.0,741827.5,93.26292145523279,36.63593193205648,-0.7437255867478558,2.0790935606018754,31138.48580735699,30008.76680705176,35991.56403278028,0.1650878953320099,0.963719526784494,,4954.084153685254,48382.822140779965,186841.87559114615,108303.84092773344,18.513379439523504,0.16258160136841857,0.08129080068420928,40000,6503.264054736743,260130562.1894697,112558868.8473931,-171842998.55838278,0.0,0.5051825635370526,cutting
0,-0.13289798046153678,-1.6341753458607933,7.426273935161056,10629.923008905509,103.1015179757578,136.51477379993707,0.05439904948342286,255,1.8679296965594616,34.337542922118146,55.149544560052476,4.623791584032573,136.51477379993707,-181.2104558325647,821487.103515625,,inf,0.0,34.337542922118146,1.8679296965594616,0.8575508593590728,inf,inf,0.0,95652783,744687.0,741825.0,93.36591116527465,36.76636057555783,-0.7329477082279963,2.0139366575744875,31136.362694277763,27611.976055172818,35990.84657031542,0.21744592574561264,0.88680801692509,,6004.111694982745,48385.29414184043,186829.1361653349,108317.23264227073,18.513374334739257,0.16303968582638678,0.08151984291319339,40000,6521.587433055472,260863497.32221887,112876010.93476024,-172327177.61793005,0.0,0.5050544153314697,cutting
